,question_id,user_comment,keywords,news_agency,recommendation_method,selected_recommendation_method,participant_id
0,5,The difference is that all the unborn are innocent. We put as many checks and balances as we can conceive of for Death Row to keep the innocent from paying for what they aren’t guilty of. Abortion can not and does not have any for that purpose. This is a tired and old straw man argument.,"[Abortion,ACLU,Amendment,ballot initiatives,Ballot Measure,Elections,Florida,Planned Parenthood,pro-abortion activists,reproductive health,reproductive rights,unborn babies]",Breitbart,news-agency,news-agency,1
1,2,"Abortion is a safe medical procedure and has nothing to do with politics or government. Since we have separation of church and state, you do not have the right to impose your religious beliefs on my uterus. Abortion is totally voluntary so if opposed to abortion then do not have one. It is that simple.","[Abortion, Birth Control and Family Planning, Politics and Government, States (US), Women's Rights, Women and Girls]",NyTimes,emotion,emotion,1
2,3,"You do not have to go this far across the to see the effects of climate change. One could just go to places domestically that are getting swallowed up by the sea. Villages in Alaska, coastal towns in MA including Cape Cod and Nantucket, southern parts of Louisiana, Miami, on and on. Heat, flooding, storms, record weather reports are already happening all over. When it all starts to hit the fan harder, there will be the movement of people searching for better conditions that will make the current human migrations look like a mere trickle. Water is going to be scarce. ","[Greenhouse Gas Emissions, Global Warming, Agriculture and Farming, Carbon Dioxide, Oceans and Seas, Third World and Developing Countries, Mercy Corps, Bangladesh, Marriages]",NyTimes,stance,stance,1
3,5,The difference is that all the unborn are innocent. We put as many checks and balances as we can conceive of for Death Row to keep the innocent from paying for what they aren’t guilty of. Abortion can not and does not have any for that purpose. This is a tired and old straw man argument.,"[Abortion,ACLU,Amendment,ballot initiatives,Ballot Measure,Elections,Florida,Planned Parenthood,pro-abortion activists,reproductive health,reproductive rights,unborn babies]",Breitbart,emotion,emotion,1
4,6,"Man made climate change is a myth, which is proven by the medieval warm period and the geological record, among other things.","[climate alarmism,Climate Change,Global Warming,The Lancet]",Breitbart,news-agency,news-agency,1
5,4,"Trump had never been considered a racist until the Washington press started playing their standard race games. They always tell you that Trump defended ""fine white supremacists"" when he said exactly the opposite. You could look these things up your self but you instead feed on the hatred of the entrenched political class. As long as you continue to act like a sheep expect the failure to continue and expect the smear toward your neighbors to keep ramping up.","[Donald Trump,globalism,Globalists,Iowa,Nikki Haley]",Breitbart,news-agency,news-agency,1
6,1,"This is a funny column.  But seriously folks, there is a long, long history of people dealing with/associating with Trump who have come to regret it (truly, deeply regret it).  People he had contracts with, business people who worked for him/with him, politicians (especially in Atlantic City), people who live anyplace near him (especially his golf resorts, did those poor people in Scotland ever get that spite wall taken down?), and just about everybody who went to trump university.  People should start paying attention and stop believing the con.  As my mother use to say """"its smart to learn from your mistakes its brilliant to learn from another person's mistake","[United States Politics and Government, Trump Donald J, Spicer Sean M (1971- ), Ryan Paul D Jr, Priebus Reince R, Nunes Devin G, Christie Christopher J, Flynn Michael G (1983- ), Mines and Mining, Russia]",NyTimes,sentiment,sentiment,1
7,3,"You do not have to go this far across the to see the effects of climate change. One could just go to places domestically that are getting swallowed up by the sea. Villages in Alaska, coastal towns in MA including Cape Cod and Nantucket, southern parts of Louisiana, Miami, on and on. Heat, flooding, storms, record weather reports are already happening all over. When it all starts to hit the fan harder, there will be the movement of people searching for better conditions that will make the current human migrations look like a mere trickle. Water is going to be scarce. ","[Greenhouse Gas Emissions, Global Warming, Agriculture and Farming, Carbon Dioxide, Oceans and Seas, Third World and Developing Countries, Mercy Corps, Bangladesh, Marriages]",NyTimes,news-agency,news-agency,1
8,6,"Man made climate change is a myth, which is proven by the medieval warm period and the geological record, among other things.","[climate alarmism,Climate Change,Global Warming,The Lancet]",Breitbart,stance,stance,1
9,2,"Abortion is a safe medical procedure and has nothing to do with politics or government. Since we have separation of church and state, you do not have the right to impose your religious beliefs on my uterus. Abortion is totally voluntary so if opposed to abortion then do not have one. It is that simple.","[Abortion, Birth Control and Family Planning, Politics and Government, States (US), Women's Rights, Women and Girls]",NyTimes,news-agency,random,1
10,1,"This is a funny column.  But seriously folks, there is a long, long history of people dealing with/associating with Trump who have come to regret it (truly, deeply regret it).  People he had contracts with, business people who worked for him/with him, politicians (especially in Atlantic City), people who live anyplace near him (especially his golf resorts, did those poor people in Scotland ever get that spite wall taken down?), and just about everybody who went to trump university.  People should start paying attention and stop believing the con.  As my mother use to say """"its smart to learn from your mistakes its brilliant to learn from another person's mistake","[United States Politics and Government, Trump Donald J, Spicer Sean M (1971- ), Ryan Paul D Jr, Priebus Reince R, Nunes Devin G, Christie Christopher J, Flynn Michael G (1983- ), Mines and Mining, Russia]",NyTimes,news-agency,news-agency,1
11,4,"Trump had never been considered a racist until the Washington press started playing their standard race games. They always tell you that Trump defended ""fine white supremacists"" when he said exactly the opposite. You could look these things up your self but you instead feed on the hatred of the entrenched political class. As long as you continue to act like a sheep expect the failure to continue and expect the smear toward your neighbors to keep ramping up.","[Donald Trump,globalism,Globalists,Iowa,Nikki Haley]",Breitbart,sentiment,sentiment,1
12,2,"Abortion is a safe medical procedure and has nothing to do with politics or government. Since we have separation of church and state, you do not have the right to impose your religious beliefs on my uterus. Abortion is totally voluntary so if opposed to abortion then do not have one. It is that simple.","[Abortion, Birth Control and Family Planning, Politics and Government, States (US), Women's Rights, Women and Girls]",NyTimes,emotion,random,2
13,6,"Man made climate change is a myth, which is proven by the medieval warm period and the geological record, among other things.","[climate alarmism,Climate Change,Global Warming,The Lancet]",Breitbart,emotion,emotion,2
14,4,"Trump had never been considered a racist until the Washington press started playing their standard race games. They always tell you that Trump defended ""fine white supremacists"" when he said exactly the opposite. You could look these things up your self but you instead feed on the hatred of the entrenched political class. As long as you continue to act like a sheep expect the failure to continue and expect the smear toward your neighbors to keep ramping up.","[Donald Trump,globalism,Globalists,Iowa,Nikki Haley]",Breitbart,news-agency,no_selection,2
15,5,The difference is that all the unborn are innocent. We put as many checks and balances as we can conceive of for Death Row to keep the innocent from paying for what they aren’t guilty of. Abortion can not and does not have any for that purpose. This is a tired and old straw man argument.,"[Abortion,ACLU,Amendment,ballot initiatives,Ballot Measure,Elections,Florida,Planned Parenthood,pro-abortion activists,reproductive health,reproductive rights,unborn babies]",Breitbart,sentiment,sentiment,2
16,3,"You do not have to go this far across the to see the effects of climate change. One could just go to places domestically that are getting swallowed up by the sea. Villages in Alaska, coastal towns in MA including Cape Cod and Nantucket, southern parts of Louisiana, Miami, on and on. Heat, flooding, storms, record weather reports are already happening all over. When it all starts to hit the fan harder, there will be the movement of people searching for better conditions that will make the current human migrations look like a mere trickle. Water is going to be scarce. ","[Greenhouse Gas Emissions, Global Warming, Agriculture and Farming, Carbon Dioxide, Oceans and Seas, Third World and Developing Countries, Mercy Corps, Bangladesh, Marriages]",NyTimes,sentiment,sentiment,2
17,2,"Abortion is a safe medical procedure and has nothing to do with politics or government. Since we have separation of church and state, you do not have the right to impose your religious beliefs on my uterus. Abortion is totally voluntary so if opposed to abortion then do not have one. It is that simple.","[Abortion, Birth Control and Family Planning, Politics and Government, States (US), Women's Rights, Women and Girls]",NyTimes,news-agency,random,2
18,5,The difference is that all the unborn are innocent. We put as many checks and balances as we can conceive of for Death Row to keep the innocent from paying for what they aren’t guilty of. Abortion can not and does not have any for that purpose. This is a tired and old straw man argument.,"[Abortion,ACLU,Amendment,ballot initiatives,Ballot Measure,Elections,Florida,Planned Parenthood,pro-abortion activists,reproductive health,reproductive rights,unborn babies]",Breitbart,news-agency,news-agency,2
19,4,"Trump had never been considered a racist until the Washington press started playing their standard race games. They always tell you that Trump defended ""fine white supremacists"" when he said exactly the opposite. You could look these things up your self but you instead feed on the hatred of the entrenched political class. As long as you continue to act like a sheep expect the failure to continue and expect the smear toward your neighbors to keep ramping up.","[Donald Trump,globalism,Globalists,Iowa,Nikki Haley]",Breitbart,emotion,no_selection,2
20,1,"This is a funny column.  But seriously folks, there is a long, long history of people dealing with/associating with Trump who have come to regret it (truly, deeply regret it).  People he had contracts with, business people who worked for him/with him, politicians (especially in Atlantic City), people who live anyplace near him (especially his golf resorts, did those poor people in Scotland ever get that spite wall taken down?), and just about everybody who went to trump university.  People should start paying attention and stop believing the con.  As my mother use to say """"its smart to learn from your mistakes its brilliant to learn from another person's mistake","[United States Politics and Government, Trump Donald J, Spicer Sean M (1971- ), Ryan Paul D Jr, Priebus Reince R, Nunes Devin G, Christie Christopher J, Flynn Michael G (1983- ), Mines and Mining, Russia]",NyTimes,emotion,emotion,2
21,1,"This is a funny column.  But seriously folks, there is a long, long history of people dealing with/associating with Trump who have come to regret it (truly, deeply regret it).  People he had contracts with, business people who worked for him/with him, politicians (especially in Atlantic City), people who live anyplace near him (especially his golf resorts, did those poor people in Scotland ever get that spite wall taken down?), and just about everybody who went to trump university.  People should start paying attention and stop believing the con.  As my mother use to say """"its smart to learn from your mistakes its brilliant to learn from another person's mistake","[United States Politics and Government, Trump Donald J, Spicer Sean M (1971- ), Ryan Paul D Jr, Priebus Reince R, Nunes Devin G, Christie Christopher J, Flynn Michael G (1983- ), Mines and Mining, Russia]",NyTimes,news-agency,no_selection,2
22,6,"Man made climate change is a myth, which is proven by the medieval warm period and the geological record, among other things.","[climate alarmism,Climate Change,Global Warming,The Lancet]",Breitbart,news-agency,no_selection,2
23,3,"You do not have to go this far across the to see the effects of climate change. One could just go to places domestically that are getting swallowed up by the sea. Villages in Alaska, coastal towns in MA including Cape Cod and Nantucket, southern parts of Louisiana, Miami, on and on. Heat, flooding, storms, record weather reports are already happening all over. When it all starts to hit the fan harder, there will be the movement of people searching for better conditions that will make the current human migrations look like a mere trickle. Water is going to be scarce. ","[Greenhouse Gas Emissions, Global Warming, Agriculture and Farming, Carbon Dioxide, Oceans and Seas, Third World and Developing Countries, Mercy Corps, Bangladesh, Marriages]",NyTimes,news-agency,news-agency,2
24,3,"You do not have to go this far across the to see the effects of climate change. One could just go to places domestically that are getting swallowed up by the sea. Villages in Alaska, coastal towns in MA including Cape Cod and Nantucket, southern parts of Louisiana, Miami, on and on. Heat, flooding, storms, record weather reports are already happening all over. When it all starts to hit the fan harder, there will be the movement of people searching for better conditions that will make the current human migrations look like a mere trickle. Water is going to be scarce. ","[Greenhouse Gas Emissions, Global Warming, Agriculture and Farming, Carbon Dioxide, Oceans and Seas, Third World and Developing Countries, Mercy Corps, Bangladesh, Marriages]",NyTimes,emotion,emotion,3
25,5,The difference is that all the unborn are innocent. We put as many checks and balances as we can conceive of for Death Row to keep the innocent from paying for what they aren’t guilty of. Abortion can not and does not have any for that purpose. This is a tired and old straw man argument.,"[Abortion,ACLU,Amendment,ballot initiatives,Ballot Measure,Elections,Florida,Planned Parenthood,pro-abortion activists,reproductive health,reproductive rights,unborn babies]",Breitbart,news-agency,news-agency,3
26,2,"Abortion is a safe medical procedure and has nothing to do with politics or government. Since we have separation of church and state, you do not have the right to impose your religious beliefs on my uterus. Abortion is totally voluntary so if opposed to abortion then do not have one. It is that simple.","[Abortion, Birth Control and Family Planning, Politics and Government, States (US), Women's Rights, Women and Girls]",NyTimes,news-agency,random,3
27,3,"You do not have to go this far across the to see the effects of climate change. One could just go to places domestically that are getting swallowed up by the sea. Villages in Alaska, coastal towns in MA including Cape Cod and Nantucket, southern parts of Louisiana, Miami, on and on. Heat, flooding, storms, record weather reports are already happening all over. When it all starts to hit the fan harder, there will be the movement of people searching for better conditions that will make the current human migrations look like a mere trickle. Water is going to be scarce. ","[Greenhouse Gas Emissions, Global Warming, Agriculture and Farming, Carbon Dioxide, Oceans and Seas, Third World and Developing Countries, Mercy Corps, Bangladesh, Marriages]",NyTimes,news-agency,news-agency,3
28,4,"Trump had never been considered a racist until the Washington press started playing their standard race games. They always tell you that Trump defended ""fine white supremacists"" when he said exactly the opposite. You could look these things up your self but you instead feed on the hatred of the entrenched political class. As long as you continue to act like a sheep expect the failure to continue and expect the smear toward your neighbors to keep ramping up.","[Donald Trump,globalism,Globalists,Iowa,Nikki Haley]",Breitbart,sentiment,sentiment,3
29,2,"Abortion is a safe medical procedure and has nothing to do with politics or government. Since we have separation of church and state, you do not have the right to impose your religious beliefs on my uterus. Abortion is totally voluntary so if opposed to abortion then do not have one. It is that simple.","[Abortion, Birth Control and Family Planning, Politics and Government, States (US), Women's Rights, Women and Girls]",NyTimes,stance,no_selection,3
30,1,"This is a funny column.  But seriously folks, there is a long, long history of people dealing with/associating with Trump who have come to regret it (truly, deeply regret it).  People he had contracts with, business people who worked for him/with him, politicians (especially in Atlantic City), people who live anyplace near him (especially his golf resorts, did those poor people in Scotland ever get that spite wall taken down?), and just about everybody who went to trump university.  People should start paying attention and stop believing the con.  As my mother use to say """"its smart to learn from your mistakes its brilliant to learn from another person's mistake","[United States Politics and Government, Trump Donald J, Spicer Sean M (1971- ), Ryan Paul D Jr, Priebus Reince R, Nunes Devin G, Christie Christopher J, Flynn Michael G (1983- ), Mines and Mining, Russia]",NyTimes,emotion,emotion,3
31,5,The difference is that all the unborn are innocent. We put as many checks and balances as we can conceive of for Death Row to keep the innocent from paying for what they aren’t guilty of. Abortion can not and does not have any for that purpose. This is a tired and old straw man argument.,"[Abortion,ACLU,Amendment,ballot initiatives,Ballot Measure,Elections,Florida,Planned Parenthood,pro-abortion activists,reproductive health,reproductive rights,unborn babies]",Breitbart,emotion,emotion,3
32,6,"Man made climate change is a myth, which is proven by the medieval warm period and the geological record, among other things.","[climate alarmism,Climate Change,Global Warming,The Lancet]",Breitbart,stance,stance,3
33,4,"Trump had never been considered a racist until the Washington press started playing their standard race games. They always tell you that Trump defended ""fine white supremacists"" when he said exactly the opposite. You could look these things up your self but you instead feed on the hatred of the entrenched political class. As long as you continue to act like a sheep expect the failure to continue and expect the smear toward your neighbors to keep ramping up.","[Donald Trump,globalism,Globalists,Iowa,Nikki Haley]",Breitbart,news-agency,news-agency,3
34,1,"This is a funny column.  But seriously folks, there is a long, long history of people dealing with/associating with Trump who have come to regret it (truly, deeply regret it).  People he had contracts with, business people who worked for him/with him, politicians (especially in Atlantic City), people who live anyplace near him (especially his golf resorts, did those poor people in Scotland ever get that spite wall taken down?), and just about everybody who went to trump university.  People should start paying attention and stop believing the con.  As my mother use to say """"its smart to learn from your mistakes its brilliant to learn from another person's mistake","[United States Politics and Government, Trump Donald J, Spicer Sean M (1971- ), Ryan Paul D Jr, Priebus Reince R, Nunes Devin G, Christie Christopher J, Flynn Michael G (1983- ), Mines and Mining, Russia]",NyTimes,news-agency,random,3
35,6,"Man made climate change is a myth, which is proven by the medieval warm period and the geological record, among other things.","[climate alarmism,Climate Change,Global Warming,The Lancet]",Breitbart,news-agency,news-agency,3
36,4,"Trump had never been considered a racist until the Washington press started playing their standard race games. They always tell you that Trump defended ""fine white supremacists"" when he said exactly the opposite. You could look these things up your self but you instead feed on the hatred of the entrenched political class. As long as you continue to act like a sheep expect the failure to continue and expect the smear toward your neighbors to keep ramping up.","[Donald Trump,globalism,Globalists,Iowa,Nikki Haley]",Breitbart,news-agency,news-agency,4
37,2,"Abortion is a safe medical procedure and has nothing to do with politics or government. Since we have separation of church and state, you do not have the right to impose your religious beliefs on my uterus. Abortion is totally voluntary so if opposed to abortion then do not have one. It is that simple.","[Abortion, Birth Control and Family Planning, Politics and Government, States (US), Women's Rights, Women and Girls]",NyTimes,news-agency,random,4
38,3,"You do not have to go this far across the to see the effects of climate change. One could just go to places domestically that are getting swallowed up by the sea. Villages in Alaska, coastal towns in MA including Cape Cod and Nantucket, southern parts of Louisiana, Miami, on and on. Heat, flooding, storms, record weather reports are already happening all over. When it all starts to hit the fan harder, there will be the movement of people searching for better conditions that will make the current human migrations look like a mere trickle. Water is going to be scarce. ","[Greenhouse Gas Emissions, Global Warming, Agriculture and Farming, Carbon Dioxide, Oceans and Seas, Third World and Developing Countries, Mercy Corps, Bangladesh, Marriages]",NyTimes,stance,no_selection,7
39,6,"Man made climate change is a myth, which is proven by the medieval warm period and the geological record, among other things.","[climate alarmism,Climate Change,Global Warming,The Lancet]",Breitbart,sentiment,sentiment,7
40,1,"This is a funny column.  But seriously folks, there is a long, long history of people dealing with/associating with Trump who have come to regret it (truly, deeply regret it).  People he had contracts with, business people who worked for him/with him, politicians (especially in Atlantic City), people who live anyplace near him (especially his golf resorts, did those poor people in Scotland ever get that spite wall taken down?), and just about everybody who went to trump university.  People should start paying attention and stop believing the con.  As my mother use to say """"its smart to learn from your mistakes its brilliant to learn from another person's mistake","[United States Politics and Government, Trump Donald J, Spicer Sean M (1971- ), Ryan Paul D Jr, Priebus Reince R, Nunes Devin G, Christie Christopher J, Flynn Michael G (1983- ), Mines and Mining, Russia]",NyTimes,sentiment,sentiment,7
41,1,"This is a funny column.  But seriously folks, there is a long, long history of people dealing with/associating with Trump who have come to regret it (truly, deeply regret it).  People he had contracts with, business people who worked for him/with him, politicians (especially in Atlantic City), people who live anyplace near him (especially his golf resorts, did those poor people in Scotland ever get that spite wall taken down?), and just about everybody who went to trump university.  People should start paying attention and stop believing the con.  As my mother use to say """"its smart to learn from your mistakes its brilliant to learn from another person's mistake","[United States Politics and Government, Trump Donald J, Spicer Sean M (1971- ), Ryan Paul D Jr, Priebus Reince R, Nunes Devin G, Christie Christopher J, Flynn Michael G (1983- ), Mines and Mining, Russia]",NyTimes,news-agency,news-agency,7
