,comment_selection,comment_id,text
0,1,1,"Oh Gail...how I wish your column was longer so that you could have done an evaluation of all of DJT's ""accomplishments"" and appointees and hangers-on as well! I went to a Trump Rally because I wanted to see fellow members of the human race and try to understand what his appeal was.  That event did two things...the people there reminded me of a Christian fundamentalist event I went to with a friend when I was young, or a Native American pow-wow where the drumbeats were hypnotic. The Trump rally was like a cult gathering...blind devotion. The second thing was that my name is now on a Trump mailing list, and I get the weekly updates...they are basically re-election campaign emails full of empty rhetoric. I recently visited the WhiteHouse.gov website and almost cried at the difference from when Obama was president. It is now a symbol of a parallel universe so far from the truth or any actual facts that it is mind-boggling. I am a 70 yr old who became an American citizen when I was 7. I shall not live long enough to see our nation recover from the damage that this man and his sycophants have wrought upon us. The only bright shaft of hope comes from the fact that at least half of our country have been spurred to act in defense of our tenets and values that have made us proud to be Americans. I hope they have boundless energy, because I fear it is going to be a long effort to return to some kind of normalcy."
1,1,2,Trump didn't push Ryan over the edge. He might have given Ryan the courage to let everyone know even more clearly who he is.
2,1,3,"How to characterized those people who are either Trump staff, or congressmen and senators that are busy enacting his programs, and theirs.The question is, what do they get out of it? No one does anything for no reason. It may seem that way at times, but all his enablers have a motive. Spicer gives me the creeps. The first time I saw him speak I immediately thought Goebbels, but then Conway came on and they both fit the same mold. Now we also have Nunez, who comes from a district where the majority of residents can not vote. He is supported by some very wealthy raisin growers, This is Grapes of Wrath country, he has not had much opposition, Trump is his passport to bigger things, maybe a post in Siberia. And Ryan, he has had a dislike for anyone who has to rely on public assistance, except himself of course. So we have a whole menagerie of misfits and ideological nihilists getting their chance to see just how miserable they can make everyone else. They all need each other to do this. So if you wonder how any of them can stomach even being around Trump, they compliment each other.But that does not answer the question. We see a whole horde of opinions, speculation, even some sane ideas, and the usual answer is ""Follow the money."" But that does not seem to be the motive here. The other common comment is Fascism, they exhibit the characteristics of Il Duce, and others. We know Trump runs his organizations like that. They all want to keep the rest of us in line."
3,2,4,"Don't you lunatics ever stop. Your so called 'newspaper' has morphed into a 24/7 hate rag, spewing non stop bile toward Trump. Just like your campaign to deify Hillary as the most qualified candidate ever, your assault on Trump will boomerang. Frankly, I no longer read the NYT for serious news and commentary, but only for the entertainment value associated with seeing how stupid, paranoid and incoherent are the Times opinionators and 99% of published comments. I wrote a comment here in the summer of 2015, that Trump was likely to win the Presidency, prefaced by my declaration that 'you people don't get it'. You didn't get it then, you don't get it now, and you'll never get it going forward, because your understanding of human nature is stunted."
4,2,5,"Trump and the Trumpsters have damaged themselves, perhaps beyond repair. Kellyanne Conway is exhibit #1, rattling on through television interviews trying to fill in the blanks for facts she doesn't have and details on policies and changes to which she is not privileged. Steven Miller, the robotic college class president type who everyone loathes as soon as he starts speaking, is a strong candidate for #2. (You will not dispute this!)Apparently, Trump's daddy, nor anyone else, ever told him that if you have to brag about your accomplishments, then perhaps they weren't so great. Who cares now, besides him, about his vote in the Electoral College? He acts strong, feels weak and shows it constantly by talking about his greatness.One small comment to put this chaos in perspective: the early Bill Clinton White House was an unbelievable rolling disaster, too. They had no idea how to staff the place, vacuuming in dozens of people who had worked on the campaign, most under 30, who had never worked in govt. previously. I produced a couple of television segments with Clinton early on and my contact for these sessions was a guy with hair spiked upward who came down to walk me in dressed in jeans and a sweatshirt. It was a thorough going mess with people barely older than college age taking part in debates, bull sessions, about weighty policy issues. The problem with Trump is that he appears to be utterly blind to the disastrous impression his new administration is making."
5,2,6,Trump is really a great role model for the youth of our country.  Boys and girls can better find their place by following his actions. 
6,3,7,"Anna North has it just right on the infinite lowliness of Trump. (Taking Note: Donald Trump’s Obsession With Applause)When the audience gave Navy SEAL Ryan Owens’s widow a standing ovation, Mr. Trump had to interlope, taking a scoundrel's refuge in the patriotic tragedy that he personally ordered with the botched Yemeni attack that made Mrs. Owens a widow.""Americans would do well to take Tuesday’s address not as a change of course for the president but as yet another example of one of his most entrenched traits: his willingness to say whatever he needs to say to get an audience to like him.""""He cares so much about what people think of him that he may not be able to imagine caring about anything else.“Ryan is looking down right now, you know that, and he’s very happy, because I think he just broke a record”...said Trump shamelessly as he wrapped himself in the flag while the soldier's family paid an unimaginable price.Ryan Owen is not 'very happy' now.He's dead.When not taking applause and credit for Ryan Owens, the so-called Commander-In-Chief Trump blamed the generals on Tuesday on Fox &amp; Friends:“This was a mission that was started before I got here. This was something they wanted to do, They came to me, they explained what they wanted to do ― the generals ― who are very respected, my generals are the most respected that we’ve had in many decades, I believe. And they lost Ryan.”https://tinyurl.com/jmftyxyYou can't go any lower than Donald Trump."
7,3,8,"Don't you lunatics ever stop. Your so called 'newspaper' has morphed into a 24/7 hate rag, spewing non stop bile toward Trump. Just like your campaign to deify Hillary as the most qualified candidate ever, your assault on Trump will boomerang. Frankly, I no longer read the NYT for serious news and commentary, but only for the entertainment value associated with seeing how stupid, paranoid and incoherent are the Times opinionators and 99% of published comments. I wrote a comment here in the summer of 2015, that Trump was likely to win the Presidency, prefaced by my declaration that 'you people don't get it'. You didn't get it then, you don't get it now, and you'll never get it going forward, because your understanding of human nature is stunted."
8,3,9,"Excellent article, well written and perceptive.Always considered Steve Bannon as one of the few people of quality serving the President. He struck me as a true RENAISSANCE man:naval officer,intellectual and author of 25 books, stock broker on the Street and a superb journalist. Also a workaholic, putting in long days at the WH, He also has a rough hewn, rugged charm, and his ""cheveux en bataille,""perpetually unshaven, only add to his magnetism.Trump seems intent on fulfilling the worst expectations of his critics, trashing the Office of the President by appointing as closest advisers his son in law and daughter.When Juliana and I lived in that decadent villa overlooking the Rio Nunes,in Boke, Guinea,we knew 20 something Peace Corps volunteers with more foreign policy experience than both Jared and Ivanka put together.This will not go down well with his dirt poor supporters who will view Trump as truly a false populist. Resentment is building. As Lady Packenham,paraphrasing Churchill, was wont to say, ""Nothing ever happens. Nothing ever stops happening.""Who could have foreseen that Jameson's Raid into the Transvaal in 1896 would result in the Boer War three years later. GOP may be in for a dreadful surprise come 2018."
9,4,10,"Millions of people voted for Trump because he ""wasn't a politician"". Today many of those same voters are falling all over themselves because he ""acted like a politician"". But neither really matters. Whether his persona du jour is reprehensible or rehearsed, he's still the same empty shell - spiritually, intellectually, and emotionally. "
