,answer_id,participant_id,question_id,news_agency,keywords,comment_selection_id,comment_text,recommendation_method,comment_id,good_recommendation
0,1,1,5,Breitbart,"[Abortion,ACLU,Amendment,ballot initiatives,Ballot Measure,Elections,Florida,Planned Parenthood,pro-abortion activists,reproductive health,reproductive rights,unborn babies]",21,"In your case yes, post partum. Like soon.",random,62,False
1,2,1,5,Breitbart,"[Abortion,ACLU,Amendment,ballot initiatives,Ballot Measure,Elections,Florida,Planned Parenthood,pro-abortion activists,reproductive health,reproductive rights,unborn babies]",21,It died the minute Trump became the leader of the party. He is anything but “conservative”,random,61,False
2,3,1,5,Breitbart,"[Abortion,ACLU,Amendment,ballot initiatives,Ballot Measure,Elections,Florida,Planned Parenthood,pro-abortion activists,reproductive health,reproductive rights,unborn babies]",25,"This decision is absolutely staggering in it's INTENDED consequences. This is what happens when ""deeply held religious beliefs"" supersede common sense. You don't need multiple studies to predict the outcome of this deplorable ruling - HUMAN BEINGS will suffer and die in the name of a God who (if he even exists) is weeping at what we are doing to each other.Whatever happened to the FIRST amendment? Do we live in a theocracy, with ""Christian Sharia Law?""Women will NOT be dragged back to the Middle Ages!There is a massive movement to defund Planned Parenthood. On 2/11 there will be demonstrations outside PP clinics. http://protestpp.com/locations/ A friend of mine has pledged to donate $1 to PP for every PRO-ABORTION protester that shows up at our local clinic. I am far from wealthy but I will do the same. How about you? How much will you pledge? ",news-agency,75,True
3,4,1,5,Breitbart,"[Abortion,ACLU,Amendment,ballot initiatives,Ballot Measure,Elections,Florida,Planned Parenthood,pro-abortion activists,reproductive health,reproductive rights,unborn babies]",25,"The very opposite is true. Abortion is a morally complex issue for a large number of reasons. The nature of personhood; individual moral choice; the influence of duress on pregnancy through rape, incest, sexual violence; the conflict of mother and pre born rights; the incursion of State upon personal choice; the availability of social support services, amongst other things.",news-agency,74,True
4,5,1,5,Breitbart,"[Abortion,ACLU,Amendment,ballot initiatives,Ballot Measure,Elections,Florida,Planned Parenthood,pro-abortion activists,reproductive health,reproductive rights,unborn babies]",21,"Yes, it appears to be ""losing"" as more and more women are sold the bill of goods called Feminism, of which abortion is wrapped up in. Legally, there should be consistency, which is if only the woman can ""decide"" about whether to have or not have the baby, then the man should also have the the same decision; he should also have the ""choice"" of whether or not he supports the baby. Currently, all the ""rights"" are bestowed on the woman. If she wants the baby, she gets to keep it and then sue the man for support. If she wants to kill the baby, then she has the right, even if the man doesnt want this for his child. In law, we have a concept called ""consent"" and that is a mutual condition. I further believe that if they couple is not married, the man has no right to claim fatherhood and participate in the childs life (unless he wants to) nor does he have the financial obligation (unless he also wants to). That would put a stop to some reckless behavior. But, unfortunately, BIG ABORT business has bought a lot of power, buying off politicians. They also never just stop at a private decision to abort. Abort immediately drifts from, if it is legal and a right, then someone else must pay, which means, my sons who had no pleasure of the womens company, are obligated to pay for killing of babies not theirs. Remember, legal doesnt mean moral and moral doesnt mean legal, although our laws are based on Judeo-Christian morals (for the time being, but the Sharia folks are hell-bent on changing all that, and just look at their cultures and countries!). Women want ""equity"" or ""equality"" then they should take the full responsibility for their ""reproductive choices.""",random,63,True
5,6,1,5,Breitbart,"[Abortion,ACLU,Amendment,ballot initiatives,Ballot Measure,Elections,Florida,Planned Parenthood,pro-abortion activists,reproductive health,reproductive rights,unborn babies]",25,"Ah . . . so that case in Texas WASNT about the ""health of the mother"" at all. It was about the fact that the baby was handicapped. And tiny handicapped babies dont deserve protection from the abortionists curette.",news-agency,73,True
6,7,1,2,NyTimes,"[Abortion, Birth Control and Family Planning, Politics and Government, States (US), Women's Rights, Women and Girls]",9,"Support for abortion in the US is decreasing because more people, particularly young people, are waking up to the reality of what abortion is, moving beyond the political rhetoric.Amazing 3-D ultrasound images show us that 16-, and 20-week old fetuses are not inert “clumps of cells” but are unmistakably living, moving human babies, no matter how small.People who see amazing images of operations performed on 20-week old babies in utero recognize that it is absurd to regard these beings as a patient in the context of fetal surgery and a worthless lump of flesh with no value or rights in the context of abortion.People also understand that abortion was sold to America on medical grounds 45 years ago, but the vast majority of abortions in the US today are performed for social and not medical reasons.More people are also recognizing the failure of the empty promises of the so-called ""sexual revolution"", which have left people more unhappy and alienated. Promoting promiscuity, contraception, and abortion in the 1960s and 1970s has left Americans worse off.People recognize that the radical Democratic Party platform position of abortion on demand up to the moment of birth paid for with public funds is also discordant with the beliefs of the vast majority of Americans.We should at least be able to agree on banning abortion after 20 weeks and ending dismemberment abortion.",emotion,26,True
7,8,1,2,NyTimes,"[Abortion, Birth Control and Family Planning, Politics and Government, States (US), Women's Rights, Women and Girls]",9,"The anti-choice stance employed by the rightwing in America is simply a tool for obfuscation and division.They took the religious fervor and weaponized it for political gain only.They could care less about the fate of the women subjected to this, and nothing for the children- once they are born.That is why it is so obviously cruel.But keep a wary eye on what else they are up to while we fight this particular fire.  ",emotion,27,True
8,9,1,2,NyTimes,"[Abortion, Birth Control and Family Planning, Politics and Government, States (US), Women's Rights, Women and Girls]",6,"It amazes me that any segment of our society considers forced gestation-- essentially, giving up a woman's right to control her own body and allowing another ""person"" to control it-- is acceptable.  Forced gestation is slavery.  We don't even force dead people to allow others to use their bodies, even if it will save their lives.  Why do you think women should have fewer rights than dead people? Think about it. ",random,18,True
9,10,1,2,NyTimes,"[Abortion, Birth Control and Family Planning, Politics and Government, States (US), Women's Rights, Women and Girls]",9,"no one is pro abortion. Abortion has been around since the beginning of time. Our body can self abort. But it cannot go back to the dark rooms with criminals performing it. Sex Education,involved  parenting, easy access to birth control is a start to reduce this situation. Abortion is at an all time low. If you study the rest of the world, a woman being able to control reproduction lifts women and families out of poverty.  What I never hear is  an emphasis on helping women learn to control their reproduction abilities.Women are still blamed for their unplanned pregnancies; there is no involvement of the men. Mike Pence makes a mockery of my religion with his intolerance and people like him use Christianity to dictate to others how to live He has no understanding of how the rest of the world out there lives.",emotion,25,True
